Date,Open,High,Low,Close,Volume,previous_closing_price,closing_price_delta,Weekly_returns
2/8/2013,15.07,15.12,14.63,14.75,8407500,,,
2/11/2013,14.89,15.01,14.26,14.46,8882000,14.75,-0.28999999999999915,
2/12/2013,14.45,14.51,14.1,14.27,8126000,14.46,-0.19000000000000128,
2/13/2013,14.3,14.94,14.25,14.66,10259500,14.27,0.39000000000000057,
2/14/2013,14.94,14.96,13.16,13.99,31879900,14.66,-0.6699999999999999,
2/15/2013,13.93,14.61,13.93,14.5,15628000,13.99,0.5099999999999998,
2/19/2013,14.33,14.56,14.08,14.26,11354400,14.5,-0.2400000000000002,
2/20/2013,14.17,14.26,13.15,13.33,14725200,14.26,-0.9299999999999997,-10.652663165791447
2/21/2013,13.62,13.95,12.9,13.37,11922100,13.33,0.03999999999999915,-8.152580403889317
2/22/2013,13.57,13.6,13.21,13.57,6071400,13.37,0.20000000000000107,-5.158437730287393
2/25/2013,13.6,13.76,13.0,13.02,7186400,13.57,-0.5500000000000007,-12.596006144393247
2/26/2013,13.14,13.42,12.7,13.26,9419000,13.02,0.2400000000000002,-5.505279034690803
2/27/2013,13.28,13.62,13.18,13.41,7390500,13.26,0.15000000000000036,-8.128262490678596
2/28/2013,13.49,13.63,13.39,13.43,6143600,13.41,0.019999999999999574,-6.180193596425912
3/1/2013,13.37,13.95,13.32,13.61,7376800,13.43,0.17999999999999972,2.0573108008817
3/4/2013,13.5,14.07,13.47,13.9,8174800,13.61,0.2900000000000009,3.812949640287778
3/5/2013,14.01,14.05,13.71,14.05,7676100,13.9,0.15000000000000036,3.416370106761569
3/6/2013,14.52,14.68,14.25,14.57,13243200,14.05,0.5199999999999996,10.63829787234043
3/7/2013,14.7,14.93,14.5,14.82,9125300,14.57,0.25,10.526315789473689
3/8/2013,14.99,15.2,14.84,14.92,10593700,14.82,0.09999999999999964,10.120643431635386
